author,count
The Fountain,323
M. Fethullah Gulen,350
Cihan Kara,3
Alptekin Kavi,4
Joanna Bodnar,1
Kadir Can,4
Seyfi Agirel,1
Katharine Branning,6
Mehmet Yildiz,1
Hamza Aydin,12
Ahmet D. Bahadir,3
Hasan Aydinli,5
Nuri Balta,4
Sarah-Mae Thomas,1
Musa Ilhan,4
Sefik Hikmet Toprak,3
Osman Cakmak,12
Steven Krauss,3
Irfan Yilmaz,48
Saban Sarsilmaz,1
Akif Uygur,1
Alphonse Dougan,18
Bediuzzaman Said Nursi,34
Ahmet Guc,2
Suleyman Eris,3
Harun Avci,5
Hikmet Isik,72
Michael Starzinski,1
M. Fatih Yilmaz,2
Firat Kocol,8
Melih Cubuklu,1
Yuksel A. Aslandogan,4
Yigit Alarcin,2
Samuel Riccobene,1
Alice Bolton,4
Mirkena Ozer,15
Arif Osmanli,1
Janibek Alpishev,1
Mesut Sahin,7
Ihsan Omeroglu,1
Salih Uslu,2
Kaan Kerem,4
H. Huseyin Erdem,5
Meryem Akgun,2
Ahmet S. Vakkasoglu,1
Omer Faruk Aydin,1
Muhammad Shukur,1
Dr. Zeki Saritoprak,8
Albert Frolov,4
Sumayya B. Sharaf,6
Abdullah Acar,2
Allen S. Maller,9
Fethullah Gulen,8
Zeynep Orhan,1
Ayhan Cetin,2
Serdar Kilic,3
Eren Saglam,1
Yusuf Bayram,1
Allison Hope,1
Harun Emre Berk,2
M’Shai S. Dash,1
Dr. S. Unlu,2
Lucien F. Cosijns,2
Dr. Bedri Katipoglu,1
Yasemin Acikel,3
Zainab Goonay,4
Rabia Savas,2
Salih Adem,4
Turkan Akman,3
Jay Willoughby,20
Selim Cakir,2
Lyndsey Eksili,3
Naim Yilmaz,12
Sumeyra Tosun,5
Mustafa Ridvan,2
Adam Brown,1
Joseph Chitwara M.Afr.,1
Atif Yorulmaz,8
Lawrence Brazier,19
Mehmet Ramazanoglu,2
Didem Fırtına,2
Brandon Martin,1
Isilay Yatkin,1
Judy Ann Eichstedt,1
Numan Erciyes,12
Zeynep Durmaz,2
Omer Yildiz,9
Joseph Clay,2
Ali Fethi Toprak,16
Rukiye Nesibe Yuksel,1
Halil I. Demir,9
Bill Sayoran,4
Sevim Karabulut,1
Ali Sebetci,3
Osman Senkaya,7
Jason Newfoundland,2
Taufik Mohammad,5
Safiye Arslan,10
Louima Cunningham,2
Seth Mette,33
Mustafa Tabanli,13
Namik Top,2
Donald Casey,1
Ceyda Sablak,10
Harun Gultekin,1
Kimberly Parker,1
Zekeriya Ozsoy,6
Jonathan Camery-hoggatt,1
Jalal Ud-din Rumi,1
Orhan Kaba,1
Ali Seyyar,1
Omer Fatih Celik,1
Hakan Yesilova,7
Mehmet Yilmaz,1
Ugur Tarman,1
Alim Birkiye,2
Ruth Woodhall,1
Nilufer Demir,2
Cemal Ozgur,3
Esra Buyukcombak,3
Nazia Nazar,1
Leslie Freiberger,1
Hakan Oztunc,13
Matt Alley,3
Selim Yigit,1
A. Ali Eren,1
Abdullah Aymaz,6
Ihsan  Kose,7
Ahmet Tugra,1
Asli Tahan,1
Hasan Horkuc,2
Hasan Ali Gunes,1
Alpaslan  Sahin,3
Nihal Balci,3
Tugrul Cagri Yavuz,2
Gary Behrman,1
Saban Cepik,1
Omer Arifagaoglu,10
Kathleen St.onge,3
Nuh Aydin,5
Bekir Mugayitoglu,1
Thomas C. Smedley,1
Mehmet Ozalp,3
Muhammed Toprak,2
Ahamuduzzaman,1
Ertan Salik,5
Valeria Kolos,1
Ed Stevenson,4
Selim Akin,1
Ismael Ituarte,1
Laurie Buchanan,1
Reyhane Daglar,1
Dr. Ibrahim B. Syed,10
Aras Konjhodzic,1
Hasna Iman Qureshi,1
Peter J. Alister,2
K. Aydin,3
M. F. Sahin,2
Dr. R. Ileri,2
M.h Kayani,1
Dr. S. E. Konuk,3
Dr. I. Yilmaz,2
Dr. H. Nurbaki,7
S. Trim,1
Trish Madigan,2
Josep Clay,3
Guy Meynen,1
Yusuf Ozaydin,1
Yasmeen Bonnie Rutherford,1
Sebnem Yildiz,1
Bayram Yerlikaya,1
Dr. Ibrahim Canan,1
Dr. Naim F. Erdem,5
Semra Guler,1
Hasan Guclu,2
Ozgur Ozer,2
Dogan Koc,3
Nuri Delen,3
Cevdet Selim,3
Nilufer Sagat and Bengisu Yildiz,1
Gurkan Polat,2
Omer Pamuk,2
Sinem Akbulak,7
Gokhan Aydin,1
Mehmet Aslan,1
Donald A. Beecher,2
Kelli Angelone,2
Linda Oatman High,1
Kemal Serce,5
Hilal Guler,1
Jacob Winkler,2
Adem Arikanli,3
Suleyman Uludag,2
Ekrem Dumanli,2
Ilhan Kaya,2
Antony P. O'Connell,1
Angela Caras,1
Laura Williams,1
John Bryson Chane,1
Gunnar Stalsett,1
Robert A. Pape,1
Ahmet Kurucan,4
Eren Tatari,4
Amy Wilson,1
Frances M. Leap,1
Bishop Demetrios Of Mokissos,1
B. Jill Carroll,2
Sumeyra Tosun / Kelli Angelone,1
Fatma Yilmaz,1
Kamil Ezgin,3
Ihsan Orhan,2
Sebnem Unlu,9
Mahshid Turner,1
Abdulaziz Sachedina,3
Burak Yalcin,1
Murat Sonmez,1
Berk Sar,2
Ercan Demiroz,2
Dr. Selim Uzunoglu,2
M. Ali Ozturk,1
Alvin C. Roseyard,7
Dr Isa Sarac,1
K. Baslar,2
A. Joseph,2
A. Fredericks,2
B. Behardin,2
P. Allister,3
Dr. R. Abaci,1
A. Hamid,5
Y. Alan,4
A. Kiyimba,1
Dr. Riffat Hassan,1
F. Dollie,1
B. Cicekli,2
M. A. Sayar,6
M. A. Rahim,3
M. A. Al-ahari,2
Dr. S. Aksoy,7
A. A. Ahmed,4
Aydin Kara,1
A. Kadir Yildirim,3
M. Ali Kaslioglu,1
Ashley Hatchett,1
Sophia Gallant,4
Mustafa Guler,1
Ozgur Cagla,2
Ibrahim Yildiz,3
Ugur Kuru,1
Momina Naveed,2
